LCT,GenVegType,GenVegDescript,CO2,CO,CH4,NMOC,H2,NOXasNO,SO2,PM25,TPM,TPC,OC,BC,NH3,NO,NO2,NMHC,PM10
1,5,Boreal,1565.000,111.000,6.000,48.500,2.300,0.950,1.000,18.400,18.400,8.300,7.800,0.200,1.800,0.830,0.630,5.700,18.400
2,3,Tropical Forest,1643.000,93.000,5.100,51.900,3.400,2.600,0.400,9.900,18.500,5.200,4.700,0.520,1.300,0.900,3.600,1.700,18.500
3,5,Boreal,1565.000,111.000,6.000,48.500,2.300,0.950,1.000,18.400,18.400,8.300,7.800,0.200,1.800,0.830,0.630,5.700,18.400
4,4,Temperate Forest,1510.000,122.000,5.610,56.000,2.030,1.040,1.100,15.000,18.000,9.700,7.600,0.560,2.470,0.950,2.340,5.700,16.970
5,4,Temperate Forest,1510.000,122.000,5.610,56.000,2.030,1.040,1.100,15.000,18.000,9.700,7.600,0.560,2.470,0.950,2.340,5.700,16.970
6,2,Woody Savannah,1681.000,67.000,3.000,24.800,0.970,3.645,0.680,7.100,15.400,7.100,3.700,1.310,1.200,0.770,2.580,3.400,11.400
7,2,Woody Savannah,1681.000,67.000,3.000,24.800,0.970,3.645,0.680,7.100,15.400,7.100,3.700,1.310,1.200,0.770,2.580,3.400,11.400
8,2,Woody Savannah,1681.000,67.000,3.000,24.800,0.970,3.645,0.680,7.100,15.400,7.100,3.700,1.310,1.200,0.770,2.580,3.400,11.400
9,1,Savanna and Grasslands,1686.000,63.000,2.000,28.200,1.700,3.900,0.900,7.170,8.300,3.000,2.600,0.370,0.560,2.160,3.220,3.400,7.200
10,1,Savanna and Grasslands,1686.000,63.000,2.000,28.200,1.700,3.900,0.900,7.170,8.300,3.000,2.600,0.370,0.560,2.160,3.220,3.400,7.200
11,1,Savanna and Grasslands,1686.000,63.000,2.000,28.200,1.700,3.900,0.900,7.170,8.300,3.000,2.600,0.370,0.560,2.160,3.220,3.400,7.200
12,9,Crops,1444.000,91.000,5.820,51.400,2.590,2.430,0.400,6.430,13.000,4.000,2.660,0.510,2.120,1.180,2.990,7.000,7.020
14,1,Savanna and Grasslands,1686.000,63.000,2.000,28.200,1.700,3.900,0.900,7.170,8.300,3.000,2.600,0.370,0.560,2.160,3.220,3.400,7.200
16,1,Savanna and Grasslands,1686.000,63.000,2.000,28.200,1.700,3.900,0.900,7.170,8.300,3.000,2.600,0.370,0.560,2.160,3.220,3.400,7.200
20,6,Temperate Forest,1623.000,112.000,3.400,49.300,2.000,1.960,1.100,17.900,18.000,9.700,7.600,0.560,1.170,0.950,2.340,5.700,18.400
